p,k,ds_training_id,ds_evaluation_id,model_id,evaluation_id,rmse
1,0,ds_training_noqb_aml_p1_0,ds_evaluation_noqb_aml_p1_0,mdl_noqb_aml_p1_0,eval_noqb_aml_p1_0,1.0510905609372359
1,1,ds_training_noqb_aml_p1_1,ds_evaluation_noqb_aml_p1_1,mdl_noqb_aml_p1_1,eval_noqb_aml_p1_1,1.0521919932771442
1,2,ds_training_noqb_aml_p1_2,ds_evaluation_noqb_aml_p1_2,mdl_noqb_aml_p1_2,eval_noqb_aml_p1_2,1.072020309133046
1,3,ds_training_noqb_aml_p1_3,ds_evaluation_noqb_aml_p1_3,mdl_noqb_aml_p1_3,eval_noqb_aml_p1_3,1.0570051666951068
1,4,ds_training_noqb_aml_p1_4,ds_evaluation_noqb_aml_p1_4,mdl_noqb_aml_p1_4,eval_noqb_aml_p1_4,1.0630415508461373
2,0,ds_training_noqb_aml_p2_0,ds_evaluation_noqb_aml_p2_0,mdl_noqb_aml_p2_0,eval_noqb_aml_p2_0,1.0855435886501748
2,1,ds_training_noqb_aml_p2_1,ds_evaluation_noqb_aml_p2_1,mdl_noqb_aml_p2_1,eval_noqb_aml_p2_1,1.0281712133501046
2,2,ds_training_noqb_aml_p2_2,ds_evaluation_noqb_aml_p2_2,mdl_noqb_aml_p2_2,eval_noqb_aml_p2_2,1.0486519756270192
2,3,ds_training_noqb_aml_p2_3,ds_evaluation_noqb_aml_p2_3,mdl_noqb_aml_p2_3,eval_noqb_aml_p2_3,1.0337554322872253
2,4,ds_training_noqb_aml_p2_4,ds_evaluation_noqb_aml_p2_4,mdl_noqb_aml_p2_4,eval_noqb_aml_p2_4,1.0505593972658873
3,0,ds_training_noqb_aml_p3_0,ds_evaluation_noqb_aml_p3_0,mdl_noqb_aml_p3_0,eval_noqb_aml_p3_0,0.91273143865032
3,1,ds_training_noqb_aml_p3_1,ds_evaluation_noqb_aml_p3_1,mdl_noqb_aml_p3_1,eval_noqb_aml_p3_1,0.8983976674197507
3,2,ds_training_noqb_aml_p3_2,ds_evaluation_noqb_aml_p3_2,mdl_noqb_aml_p3_2,eval_noqb_aml_p3_2,0.8850974573405416
3,3,ds_training_noqb_aml_p3_3,ds_evaluation_noqb_aml_p3_3,mdl_noqb_aml_p3_3,eval_noqb_aml_p3_3,0.8996405048422185
3,4,ds_training_noqb_aml_p3_4,ds_evaluation_noqb_aml_p3_4,mdl_noqb_aml_p3_4,eval_noqb_aml_p3_4,0.9021519676808306
4,0,ds_training_noqb_aml_p4_0,ds_evaluation_noqb_aml_p4_0,mdl_noqb_aml_p4_0,eval_noqb_aml_p4_0,0.8527498063240043
4,1,ds_training_noqb_aml_p4_1,ds_evaluation_noqb_aml_p4_1,mdl_noqb_aml_p4_1,eval_noqb_aml_p4_1,0.8954957338783104
4,2,ds_training_noqb_aml_p4_2,ds_evaluation_noqb_aml_p4_2,mdl_noqb_aml_p4_2,eval_noqb_aml_p4_2,0.8663522495364031
4,3,ds_training_noqb_aml_p4_3,ds_evaluation_noqb_aml_p4_3,mdl_noqb_aml_p4_3,eval_noqb_aml_p4_3,0.8618974726198776
4,4,ds_training_noqb_aml_p4_4,ds_evaluation_noqb_aml_p4_4,mdl_noqb_aml_p4_4,eval_noqb_aml_p4_4,0.8476204363769728
5,0,ds_training_noqb_aml_p5_0,ds_evaluation_noqb_aml_p5_0,mdl_noqb_aml_p5_0,eval_noqb_aml_p5_0,0.934577027126257
5,1,ds_training_noqb_aml_p5_1,ds_evaluation_noqb_aml_p5_1,mdl_noqb_aml_p5_1,eval_noqb_aml_p5_1,0.9237942836271769
5,2,ds_training_noqb_aml_p5_2,ds_evaluation_noqb_aml_p5_2,mdl_noqb_aml_p5_2,eval_noqb_aml_p5_2,1.0017286913448469
5,3,ds_training_noqb_aml_p5_3,ds_evaluation_noqb_aml_p5_3,mdl_noqb_aml_p5_3,eval_noqb_aml_p5_3,0.9269709366746001
5,4,ds_training_noqb_aml_p5_4,ds_evaluation_noqb_aml_p5_4,mdl_noqb_aml_p5_4,eval_noqb_aml_p5_4,0.9211719019714841
